observation_days,horizon_days,min_future_resolved_trades,top_percentile,threshold_source,trade_filter,prediction_rule,right_censoring_rule,rows,split_counts,positive_counts,single_class_splits,test_rows,test_positive,meets_minimum_test_gate
1,1,1,0.1,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,7305,"{'test': 9, 'train': 6865, 'val': 431}","{'test': 0, 'train': 687, 'val': 54}",['test'],9,0,False
1,1,1,0.2,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,7305,"{'test': 9, 'train': 6865, 'val': 431}","{'test': 1, 'train': 1373, 'val': 107}",[],9,1,False
1,1,3,0.1,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,2856,"{'test': 5, 'train': 2513, 'val': 338}","{'test': 0, 'train': 252, 'val': 49}",['test'],5,0,False
1,1,3,0.2,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,2856,"{'test': 5, 'train': 2513, 'val': 338}","{'test': 0, 'train': 503, 'val': 95}",['test'],5,0,False
1,3,1,0.1,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,11639,"{'test': 9, 'train': 11016, 'val': 614}","{'test': 1, 'train': 1102, 'val': 83}",[],9,1,False
1,3,1,0.2,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,11639,"{'test': 9, 'train': 11016, 'val': 614}","{'test': 1, 'train': 2204, 'val': 151}",[],9,1,False
1,3,3,0.1,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,5696,"{'test': 36, 'train': 5082, 'val': 578}","{'test': 6, 'train': 509, 'val': 84}",[],36,6,False
1,3,3,0.2,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,5696,"{'test': 36, 'train': 5082, 'val': 578}","{'test': 14, 'train': 1017, 'val': 141}",[],36,14,False
1,7,1,0.1,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,14818,"{'test': 9, 'train': 14165, 'val': 644}","{'test': 1, 'train': 1417, 'val': 89}",[],9,1,False
1,7,1,0.2,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,14818,"{'test': 9, 'train': 14165, 'val': 644}","{'test': 1, 'train': 2833, 'val': 166}",[],9,1,False
1,7,3,0.1,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,8502,"{'test': 36, 'train': 7846, 'val': 620}","{'test': 6, 'train': 785, 'val': 84}",[],36,6,False
1,7,3,0.2,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,8502,"{'test': 36, 'train': 7846, 'val': 620}","{'test': 14, 'train': 1570, 'val': 154}",[],36,14,False
1,14,1,0.1,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,16981,"{'test': 1, 'train': 16980}","{'test': 0, 'train': 1699}",['test'],1,0,False
1,14,1,0.2,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,16981,"{'test': 1, 'train': 16980}","{'test': 0, 'train': 3396}",['test'],1,0,False
1,14,3,0.1,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,11021,"{'test': 36, 'train': 10365, 'val': 620}","{'test': 6, 'train': 1037, 'val': 88}",[],36,6,False
1,14,3,0.2,train_split_quantile,BUY_only,price>=0.5 implies YES else NO,drop_addresses_without_complete_label_window,11021,"{'test': 36, 'train': 10365, 'val': 620}","{'test': 15, 'train': 2073, 'val': 161}",[],36,15,False
