fold,start,end,strategy,target_count,status,total_trades,requested_trades,total_requested_notional,total_filled_notional,fill_rate,skipped_liquidity,skipped_capital,capital_capped_trades,liquidity_capped_trades,market_exposure_capped_trades,win_rate,total_net_profit,roi_pct,max_drawdown,sharpe,unique_markets,top_market_share,market_hhi,effective_markets,reason,profit_per_filled_notional,equal_capital_budget,equal_capital_supported,equal_capital_net_profit,equal_capital_roi
1,2026-03-19T08:59:49,2026-03-20T04:57:17,model_top_k_20,20,ok,17,27,2700.0,322.8000607000001,0.11955557759423863,10,0,0,27,0,0.8235294117647058,163.02227779739937,0.5050255331229683,0.0008449259566109371,13.850748108250777,12,0.24071702567681705,0.1672033871834879,5.980740084545097,,0.5050255487681181,322.8000607000001,True,163.02227779739937,0.5050255487681181
1,2026-03-19T08:59:49,2026-03-20T04:57:17,model_top_pct_0.10,133,ok,118,142,14200.0,5902.5481230000005,0.41567240273544204,24,0,0,100,0,0.7796610169491526,54314.86870044834,9.201935753269755,0.015060548182307522,40.436569477841,85,0.08470917806695873,0.026952271895444517,37.10262362591483,,9.201935768859522,322.8000607000001,True,2970.3854247453555,9.201935768859522
1,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_top_volume,20,ok,1021,1080,108000.0,65629.21799630001,0.6076779443539188,59,0,0,617,0,0.5523996082272282,169192.79815693857,2.578010271898975,0.06612189235009178,21.988187312146287,357,0.027426808591586135,0.00955623877629761,104.64368078373109,,2.578010272291789,322.8000607000001,True,832.1818723810132,2.578010272291789
1,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,27,27,2700.0,2490.2002393,0.9222963815100133,0,0,0,3,0,0.6666666666666666,71374.72058502084,28.662241361948467,0.04291008824826325,18.23238459085296,11,0.5622037850231444,0.3457405907525635,2.892341908201548,,28.662241477048614,322.8000607000001,True,9252.173288589353,28.662241477048614
2,2026-03-20T04:57:19,2026-03-21T15:23:05,model_top_k_20,20,ok,14,20,2000.0,592.5974609999998,0.2962987290185063,6,0,0,17,0,0.6428571428571429,-287.7720674499731,-0.4856113661173104,0.03147858821008742,-41.436581462508656,14,0.16874861365631127,0.1300969324811551,7.686576316046905,,-0.48561137431193485,592.5974609999998,True,-287.7720674499731,-0.48561137431193485
2,2026-03-20T04:57:19,2026-03-21T15:23:05,model_top_pct_0.10,133,ok,120,149,14900.0,5378.5011094,0.360973228576528,29,0,0,110,0,0.75,49912.94951452263,9.28008536327881,0.01568874399844377,65.58855962463808,109,0.037185081109393135,0.020283986059893646,49.29997472130206,,9.280085380532846,592.5974609999998,True,5499.355034366982,9.280085380532846
2,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_top_volume,20,ok,1100,1238,123800.0,55501.7378523,0.4483177532133831,138,0,0,887,0,0.6,100921.7474242691,1.8183529257166016,0.08568500532292857,20.444400052476634,482,0.03243141691869398,0.009786074237280883,102.18602227545085,,1.8183529260442226,592.5974609999998,True,1077.5513271757268,1.8183529260442226
2,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,31,35,3500.0,2147.6743644,0.6136212452182249,4,0,0,16,0,0.8064516129032258,9365.41980052952,4.360726147391853,0.02025732923865016,15.431299695064228,20,0.46561993595308016,0.23798998653820824,4.201857458567713,,4.360726167696264,592.5974609999998,True,2584.1552550930655,4.360726167696264
3,2026-03-21T15:23:07,2026-03-25T02:47:33,model_top_k_20,20,ok,16,27,2700.0,749.6914412000001,0.27766349571235743,11,0,0,25,0,0.625,283.31522587432386,0.37790910570052905,0.015270937575328807,8.581584026092274,10,0.30357917923633354,0.19021398837163858,5.2572369075517615,,0.377909110741391,749.6914412000001,True,283.31522587432386,0.377909110741391
3,2026-03-21T15:23:07,2026-03-25T02:47:33,model_top_pct_0.10,133,ok,132,173,17300.0,5230.2377653,0.30232588221252843,41,0,0,150,0,0.6590909090909091,19538.3711596852,3.7356563886934384,0.03483035103670083,18.20854148178543,104,0.09790742331015764,0.03106217990953257,32.193490698735964,,3.7356563958358597,749.6914412000001,True,2800.589627222184,3.73565639583586
