seed_index,folds,supported_folds,total_trades,requested_trades,total_filled_notional,mean_fill_rate,total_net_profit,mean_roi_pct,total_equal_capital_budget,total_equal_capital_net_profit,mean_equal_capital_roi,mean_sharpe,mean_unique_markets,mean_top_market_share,mean_market_hhi,mean_effective_markets
0,5,5,379,394,26123.72499791937,0.6024460970623234,17760.726575017514,1.075172559038269,3647.2326775770002,5818.621201395936,1.0751725611141585,1.4402049179517147,49.0,0.11909109967082743,0.059193088200954105,28.687247999632056
1,5,5,129,136,9374.349084377001,0.6871261102474306,33660.955122928885,3.260220706397226,3647.2326775770002,6890.692188671061,3.260220723831645,216.02946695117367,21.0,0.15519305705564973,0.08593404093708219,13.071807067244237
2,5,5,463,499,40340.070955907,0.7412802217990357,198574.13980942528,6.645810397495649,3647.2326775770002,17146.31887420642,6.645810437331424,9.222339935581736,32.2,0.1564766696395291,0.07955983548578618,17.452730219532533
3,5,5,150,158,12360.542135506075,0.7281770801512248,57598.561871834405,4.33641412953722,3647.2326775770002,17639.675249814332,4.336414148034272,13.749241492759662,22.2,0.16027232258642463,0.090385628890987,13.867475660654055
4,5,5,214,227,15452.495738494694,0.6607757306068611,157457.52805788544,6.346485298219855,3647.2326775770002,20640.598698961432,6.346485310418101,5.8834552357715655,32.8,0.14270765306910965,0.06956833343606508,19.07299052418458
5,5,5,818,861,63373.61162960247,0.7776498645090687,358785.46626997646,4.719838332590444,3647.2326775770002,16211.008437063912,4.719838342292212,14.001545823819702,55.6,0.12462437864883329,0.06811260578415235,26.66527412514434
6,5,5,471,492,40578.216385896565,0.8089116446139115,274049.5840796875,6.214660672033103,3647.2326775770002,23885.818393671416,6.214660686128904,11.431777874896358,40.2,0.11497900795093567,0.0557566414252613,20.881524706732797
7,5,5,245,284,15405.404125520183,0.6646384594778395,165778.42776438364,8.211626987703756,3647.2326775770002,31347.945957142554,8.211627009331997,30.053261128843964,35.4,0.1585769242189589,0.06671240513552856,19.514889873028263
8,5,5,303,310,23464.28729199274,0.7081409088455113,128771.18466207554,4.740633768062417,3647.2326775770002,21712.601578437127,4.7406337851823865,9.76025634614579,40.8,0.13039425029546475,0.06110691570553676,22.79211842536917
9,5,5,95,107,6158.7021512031815,0.6061603049975577,59989.83079554521,11.092094324000449,3647.2326775770002,41493.20885106687,11.09209447580765,12.256686785324813,16.6,0.2062805021392753,0.12903736053677922,10.237374560065888
10,5,5,739,765,36693.09813056972,0.5969374228181344,162449.30244020777,6.169467196997989,3647.2326775770002,24085.471631634467,6.169467220387697,16.95324274345584,60.8,0.09298374460193244,0.04553347454747994,28.627964383931527
11,5,5,840,870,67727.06279207466,0.7338762925608276,509944.16346295434,5.960544159479556,3647.2326775770002,24136.500722944926,5.960544181116951,18.361762995819337,58.6,0.11165033617890666,0.05576155840381726,26.820442039721666
12,5,5,260,277,19879.49825152736,0.7043443313722848,180367.09146306358,8.17716508284902,3647.2326775770002,27089.45253599212,8.177165107110094,18.3779528595224,36.8,0.14861271076391602,0.07179011757475436,21.92615701221119
13,5,5,712,771,54090.6915048026,0.7098106641652506,214549.71986649986,4.571008305338003,3647.2326775770002,13776.062383007942,4.571008311578127,16.311600503068398,76.6,0.1376389162632093,0.06479314900289365,29.876665258729094
14,5,5,225,242,17076.83402897843,0.6712404491650459,137449.50900892052,9.814370673750624,3647.2326775770002,29760.195868950388,9.814370731858094,9.977051393081737,31.4,0.21984195665680878,0.10667654742215149,15.668999743983255
15,5,5,341,352,20741.066199859626,0.7167189705484768,48530.295774850914,2.688674786775036,3647.2326775770002,5747.409909992697,2.6886747996892586,52.905356400402844,41.4,0.09245035306957758,0.049391541868142555,22.649882509512814
16,5,5,468,470,35702.34447155605,0.7411973385954254,123605.36055874018,3.7629711117070137,3647.2326775770002,15794.057075159055,3.7629711195674056,7.974616402030454,48.0,0.08904375667265615,0.05090645771533122,25.576870664291288
17,5,5,350,394,28778.75641635948,0.7226179244948734,178626.1927619754,7.362783484828401,3647.2326775770002,34068.21037801358,7.362783512352128,8.452855249800159,36.8,0.11441179255646634,0.06177582694201025,19.244656565524345
18,5,5,440,452,23446.26125199826,0.6114465587126241,96586.3380255464,4.99865873687579,3647.2326775770002,18293.396905714275,4.99865875510166,28.063852714143415,55.0,0.1288357236782532,0.056790018389347066,22.9234481969112
19,5,5,177,181,12354.099548961609,0.6829088698090044,71126.1068621708,6.304067767492176,3647.2326775770002,22541.385340220753,6.304067809571163,13.944562984768321,26.0,0.17840359361333663,0.09020862358921422,13.607037415583639
