fold,policy,selected,support,positives,true_positive,precision,recall
1,fixed_0_5,739,1323,263,174,0.2354533152909337,0.6615969581749049
1,top_k_10,10,1323,263,2,0.2,0.0076045627376425855
1,top_k_20,20,1323,263,3,0.15,0.011406844106463879
1,top_k_50,50,1323,263,6,0.12,0.022813688212927757
1,top_pct_0.05,67,1323,263,10,0.14925373134328357,0.03802281368821293
1,top_pct_0.10,133,1323,263,29,0.21804511278195488,0.11026615969581749
1,top_pct_0.20,265,1323,263,62,0.2339622641509434,0.23574144486692014
2,fixed_0_5,662,1323,284,165,0.24924471299093656,0.5809859154929577
2,top_k_10,10,1323,284,1,0.1,0.0035211267605633804
2,top_k_20,20,1323,284,4,0.2,0.014084507042253521
2,top_k_50,50,1323,284,12,0.24,0.04225352112676056
2,top_pct_0.05,67,1323,284,18,0.26865671641791045,0.06338028169014084
2,top_pct_0.10,133,1323,284,37,0.2781954887218045,0.13028169014084506
2,top_pct_0.20,265,1323,284,73,0.27547169811320754,0.25704225352112675
3,fixed_0_5,686,1323,284,151,0.22011661807580174,0.5316901408450704
3,top_k_10,10,1323,284,0,0.0,0.0
3,top_k_20,20,1323,284,1,0.05,0.0035211267605633804
3,top_k_50,50,1323,284,12,0.24,0.04225352112676056
3,top_pct_0.05,67,1323,284,16,0.23880597014925373,0.056338028169014086
3,top_pct_0.10,133,1323,284,27,0.20300751879699247,0.09507042253521127
3,top_pct_0.20,265,1323,284,54,0.2037735849056604,0.19014084507042253
4,fixed_0_5,713,1323,324,204,0.2861150070126227,0.6296296296296297
4,top_k_10,10,1323,324,2,0.2,0.006172839506172839
4,top_k_20,20,1323,324,5,0.25,0.015432098765432098
4,top_k_50,50,1323,324,12,0.24,0.037037037037037035
4,top_pct_0.05,67,1323,324,15,0.22388059701492538,0.046296296296296294
4,top_pct_0.10,133,1323,324,41,0.3082706766917293,0.12654320987654322
4,top_pct_0.20,265,1323,324,79,0.2981132075471698,0.24382716049382716
5,fixed_0_5,666,1322,334,197,0.2957957957957958,0.5898203592814372
5,top_k_10,10,1322,334,2,0.2,0.005988023952095809
5,top_k_20,20,1322,334,6,0.3,0.017964071856287425
5,top_k_50,50,1322,334,20,0.4,0.059880239520958084
5,top_pct_0.05,67,1322,334,23,0.34328358208955223,0.0688622754491018
5,top_pct_0.10,133,1322,334,51,0.38345864661654133,0.15269461077844312
5,top_pct_0.20,265,1322,334,99,0.37358490566037733,0.2964071856287425
